"Home.Team","Home.Score","Away.Score","Away.Team"
"Hannover 96","2","0","Borussia M'gla…"
"Bayer Leverkusen","3","0","Eintracht Fran…"
"Augsburg","1","0","Stuttgart"
"Werder Bremen","3","2","Wolfsburg"
"Hoffenheim","2","1","Hertha BSC"
"Darmstadt 98","2","0","Ingolstadt"
"Bayern München","3","0","Schalke 04"
"Borussia Dortmund","3","0","Hamburger SV"
"Mainz 05","2","3","Köln"
"Hertha BSC","2","2","Hannover 96"
"Hamburger SV","1","2","Darmstadt 98"
"Stuttgart","1","3","Bayern München"
"Werder Bremen","1","2","Augsburg"
"Eintracht Fran…","0","2","Hoffenheim"
"Ingolstadt","1","0","Borussia M'gla…"
"Wolfsburg","1","1","Mainz 05"
"Schalke 04","2","2","Borussia Dortmund"
"Köln","0","2","Bayer Leverkusen"
"Bayer Leverkusen","3","0","Wolfsburg"
"Bayern München","1","0","Eintracht Fran…"
"Hannover 96","0","3","Hamburger SV"
"Mainz 05","4","2","Augsburg"
"Ingolstadt","3","0","Schalke 04"
"Darmstadt 98","2","2","Stuttgart"
"Borussia Dortmund","3","2","Werder Bremen"
"Borussia M'gla…","5","0","Hertha BSC"
"Hoffenheim","1","1","Köln"
"Schalke 04","2","1","Borussia M'gla…"
"Wolfsburg","1","1","Darmstadt 98"
"Hamburger SV","1","3","Hoffenheim"
"Werder Bremen","1","1","Mainz 05"
"Köln","0","1","Bayern München"
"Hertha BSC","2","1","Ingolstadt"
"Eintracht Fran…","1","0","Hannover 96"
"Stuttgart","0","2","Bayer Leverkusen"
"Augsburg","1","3","Borussia Dortmund"
"Hertha BSC","2","0","Schalke 04"
"Borussia M'gla…","3","0","Eintracht Fran…"
"Hannover 96","0","2","Köln"
"Hoffenheim","1","0","Wolfsburg"
"Ingolstadt","3","3","Stuttgart"
"Darmstadt 98","2","2","Augsburg"
"Bayern München","5","0","Werder Bremen"
"Bayer Leverkusen","1","0","Hamburger SV"
"Borussia Dortmund","2","0","Mainz 05"
"Wolfsburg","2","1","Borussia M'gla…"
"Stuttgart","5","1","Hoffenheim"
"Augsburg","3","3","Bayer Leverkusen"
"Werder Bremen","4","1","Hannover 96"
"Eintracht Fran…","1","1","Ingolstadt"
"Köln","1","3","Schalke 04"
"Borussia Dortmund","0","0","Bayern München"
"Mainz 05","0","0","Darmstadt 98"
"Hamburger SV","2","0","Hertha BSC"
"Hannover 96","0","4","Wolfsburg"
"Ingolstadt","1","1","Köln"
"Bayern München","1","2","Mainz 05"
"Schalke 04","3","2","Hamburger SV"
"Bayer Leverkusen","1","4","Werder Bremen"
"Borussia M'gla…","4","0","Stuttgart"
"Hertha BSC","2","0","Eintracht Fran…"
"Hoffenheim","2","1","Augsburg"
"Darmstadt 98","0","2","Borussia Dortmund"
"Köln","0","1","Hertha BSC"
"Wolfsburg","0","2","Bayern München"
"Hamburger SV","1","1","Ingolstadt"
"Stuttgart","1","2","Hannover 96"
"Werder Bremen","2","2","Darmstadt 98"
"Augsburg","2","2","Borussia M'gla…"
"Borussia Dortmund","3","1","Hoffenheim"
"Mainz 05","3","1","Bayer Leverkusen"
"Eintracht Fran…","0","0","Schalke 04"
"Eintracht Fran…","0","0","Hamburger SV"
"Bayern München","3","1","Darmstadt 98"
"Borussia M'gla…","1","0","Köln"
"Hertha BSC","1","1","Wolfsburg"
"Hoffenheim","3","2","Mainz 05"
"Ingolstadt","2","0","Werder Bremen"
"Bayer Leverkusen","0","1","Borussia Dortmund"
"Schalke 04","1","1","Stuttgart"
"Hannover 96","0","1","Augsburg"
"Mainz 05","2","1","Schalke 04"
"Borussia Dortmund","1","0","Hannover 96"
"Wolfsburg","2","0","Ingolstadt"
"Stuttgart","2","0","Hertha BSC"
"Werder Bremen","1","1","Hoffenheim"
"Darmstadt 98","1","2","Bayer Leverkusen"
"Köln","3","1","Eintracht Fran…"
"Hamburger SV","3","2","Borussia M'gla…"
"Augsburg","1","3","Bayern München"
"Borussia M'gla…","5","1","Werder Bremen"
"Schalke 04","3","0","Wolfsburg"
"Eintracht Fran…","2","4","Stuttgart"
"Hannover 96","0","1","Mainz 05"
"Hertha BSC","0","0","Borussia Dortmund"
"Ingolstadt","2","1","Augsburg"
"Bayer Leverkusen","0","0","Bayern München"
"Hamburger SV","1","1","Köln"
"Hoffenheim","0","2","Darmstadt 98"
"Mainz 05","1","0","Borussia M'gla…"
"Borussia Dortmund","2","0","Ingolstadt"
"Bayer Leverkusen","3","0","Hannover 96"
"Augsburg","0","0","Eintracht Fran…"
"Werder Bremen","3","3","Hertha BSC"
"Darmstadt 98","0","2","Schalke 04"
"Stuttgart","2","1","Hamburger SV"
"Wolfsburg","1","1","Köln"
"Bayern München","2","0","Hoffenheim"
"Hamburger SV","1","2","Bayern München"
"Köln","1","3","Stuttgart"
"Hannover 96","1","2","Darmstadt 98"
"Hertha BSC","0","0","Augsburg"
"Hoffenheim","1","1","Bayer Leverkusen"
"Ingolstadt","1","0","Mainz 05"
"Borussia M'gla…","1","3","Borussia Dortmund"
"Eintracht Fran…","3","2","Wolfsburg"
"Schalke 04","1","3","Werder Bremen"
"Schalke 04","1","0","Hoffenheim"
"Hamburger SV","0","1","Augsburg"
"Eintracht Fran…","2","1","Werder Bremen"
"Köln","2","1","Borussia Dortmund"
"Hannover 96","0","1","Bayern München"
"Ingolstadt","0","1","Bayer Leverkusen"
"Stuttgart","3","1","Wolfsburg"
"Hertha BSC","2","0","Mainz 05"
"Borussia M'gla…","3","2","Darmstadt 98"
"Mainz 05","0","0","Stuttgart"
"Bayern München","2","0","Ingolstadt"
"Wolfsburg","1","1","Hamburger SV"
"Werder Bremen","1","1","Köln"
"Hoffenheim","1","0","Hannover 96"
"Darmstadt 98","0","4","Hertha BSC"
"Bayer Leverkusen","5","0","Borussia M'gla…"
"Augsburg","2","1","Schalke 04"
"Borussia Dortmund","4","1","Eintracht Fran…"
"Schalke 04","3","1","Hannover 96"
"Borussia M'gla…","3","1","Bayern München"
"Hamburger SV","1","3","Mainz 05"
"Köln","0","1","Augsburg"
"Hertha BSC","2","1","Bayer Leverkusen"
"Ingolstadt","1","1","Hoffenheim"
"Wolfsburg","1","2","Borussia Dortmund"
"Stuttgart","1","1","Werder Bremen"
"Eintracht Fran…","0","1","Darmstadt 98"
"Darmstadt 98","0","0","Köln"
"Bayern München","2","0","Hertha BSC"
"Werder Bremen","1","3","Hamburger SV"
"Hannover 96","4","0","Ingolstadt"
"Hoffenheim","3","3","Borussia M'gla…"
"Mainz 05","2","1","Eintracht Fran…"
"Borussia Dortmund","4","1","Stuttgart"
"Bayer Leverkusen","1","1","Schalke 04"
"Augsburg","0","0","Wolfsburg"
"Hamburger SV","3","1","Borussia Dortmund"
"Borussia M'gla…","2","1","Hannover 96"
"Wolfsburg","6","0","Werder Bremen"
"Eintracht Fran…","1","3","Bayer Leverkusen"
"Köln","0","0","Mainz 05"
"Stuttgart","0","4","Augsburg"
"Schalke 04","1","3","Bayern München"
"Hertha BSC","1","0","Hoffenheim"
"Ingolstadt","3","1","Darmstadt 98"
"Hannover 96","1","3","Hertha BSC"
"Bayern München","4","0","Stuttgart"
"Bayer Leverkusen","1","2","Köln"
"Borussia M'gla…","0","0","Ingolstadt"
"Hoffenheim","0","0","Eintracht Fran…"
"Mainz 05","2","0","Wolfsburg"
"Darmstadt 98","1","1","Hamburger SV"
"Borussia Dortmund","3","2","Schalke 04"
"Augsburg","1","2","Werder Bremen"
"Eintracht Fran…","0","0","Bayern München"
"Schalke 04","1","1","Ingolstadt"
"Augsburg","3","3","Mainz 05"
"Werder Bremen","1","3","Borussia Dortmund"
"Köln","0","0","Hoffenheim"
"Hertha BSC","1","4","Borussia M'gla…"
"Wolfsburg","2","1","Bayer Leverkusen"
"Stuttgart","2","0","Darmstadt 98"
"Hamburger SV","1","2","Hannover 96"
"Hoffenheim","0","1","Hamburger SV"
"Bayern München","4","0","Köln"
"Bayer Leverkusen","4","3","Stuttgart"
"Hannover 96","1","2","Eintracht Fran…"
"Mainz 05","1","3","Werder Bremen"
"Darmstadt 98","0","1","Wolfsburg"
"Ingolstadt","0","1","Hertha BSC"
"Borussia Dortmund","5","1","Augsburg"
"Borussia M'gla…","3","1","Schalke 04"
"Mainz 05","0","2","Borussia Dortmund"
"Schalke 04","2","1","Hertha BSC"
"Wolfsburg","4","2","Hoffenheim"
"Hamburger SV","0","0","Bayer Leverkusen"
"Augsburg","0","2","Darmstadt 98"
"Werder Bremen","0","1","Bayern München"
"Eintracht Fran…","1","5","Borussia M'gla…"
"Köln","0","1","Hannover 96"
"Stuttgart","1","0","Ingolstadt"
"Darmstadt 98","2","3","Mainz 05"
"Borussia M'gla…","2","0","Wolfsburg"
"Hannover 96","1","0","Werder Bremen"
"Hertha BSC","3","0","Hamburger SV"
"Hoffenheim","2","2","Stuttgart"
"Ingolstadt","2","0","Eintracht Fran…"
"Schalke 04","0","3","Köln"
"Bayern München","5","1","Borussia Dortmund"
"Bayer Leverkusen","1","1","Augsburg"
"Köln","1","1","Ingolstadt"
"Wolfsburg","1","1","Hannover 96"
"Stuttgart","1","3","Borussia M'gla…"
"Augsburg","1","3","Hoffenheim"
"Werder Bremen","0","3","Bayer Leverkusen"
"Mainz 05","0","3","Bayern München"
"Hamburger SV","0","1","Schalke 04"
"Eintracht Fran…","1","1","Hertha BSC"
"Borussia Dortmund","2","2","Darmstadt 98"
"Bayern München","5","1","Wolfsburg"
"Hertha BSC","2","0","Köln"
"Ingolstadt","0","1","Hamburger SV"
"Darmstadt 98","2","1","Werder Bremen"
"Schalke 04","2","0","Eintracht Fran…"
"Bayer Leverkusen","1","0","Mainz 05"
"Borussia M'gla…","4","2","Augsburg"
"Hannover 96","1","3","Stuttgart"
"Hoffenheim","1","1","Borussia Dortmund"
"Mainz 05","3","1","Hoffenheim"
"Wolfsburg","2","0","Hertha BSC"
"Hamburger SV","0","0","Eintracht Fran…"
"Werder Bremen","0","1","Ingolstadt"
"Köln","1","0","Borussia M'gla…"
"Darmstadt 98","0","3","Bayern München"
"Stuttgart","0","1","Schalke 04"
"Borussia Dortmund","3","0","Bayer Leverkusen"
"Augsburg","2","0","Hannover 96"
"Borussia M'gla…","0","3","Hamburger SV"
"Bayern München","2","1","Augsburg"
"Bayer Leverkusen","0","1","Darmstadt 98"
"Hannover 96","2","4","Borussia Dortmund"
"Hertha BSC","2","1","Stuttgart"
"Ingolstadt","0","0","Wolfsburg"
"Eintracht Fran…","6","2","Köln"
"Hoffenheim","1","3","Werder Bremen"
"Schalke 04","2","1","Mainz 05"
"Wolfsburg","3","0","Schalke 04"
"Stuttgart","1","4","Eintracht Fran…"
"Augsburg","0","1","Ingolstadt"
"Köln","2","1","Hamburger SV"
"Mainz 05","3","0","Hannover 96"
"Darmstadt 98","0","0","Hoffenheim"
"Bayern München","3","0","Bayer Leverkusen"
"Borussia Dortmund","3","1","Hertha BSC"
"Werder Bremen","2","1","Borussia M'gla…"
"Hertha BSC","1","1","Werder Bremen"
"Schalke 04","1","1","Darmstadt 98"
"Eintracht Fran…","1","1","Augsburg"
"Köln","1","1","Wolfsburg"
"Hannover 96","0","1","Bayer Leverkusen"
"Hoffenheim","1","2","Bayern München"
"Hamburger SV","3","2","Stuttgart"
"Ingolstadt","0","4","Borussia Dortmund"
"Borussia M'gla…","1","2","Mainz 05"
"Bayern München","5","0","Hamburger SV"
"Bayer Leverkusen","2","1","Hoffenheim"
"Augsburg","0","1","Hertha BSC"
"Werder Bremen","0","3","Schalke 04"
"Mainz 05","0","1","Ingolstadt"
"Darmstadt 98","2","2","Hannover 96"
"Borussia Dortmund","4","0","Borussia M'gla…"
"Wolfsburg","2","1","Eintracht Fran…"
"Stuttgart","1","3","Köln"
